asset	width	height	previousMax	newWebGLMax
Assets/Furniture Mega Pack/Textures/Chairs/Chair09/Chair09_mat_Chair09_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair09/Chair09_mat_Chair09_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair09/Chair09_mat_Chair09_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair26/Chair26_mat_Chair26_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair26/Chair26_mat_Chair26_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair26/Chair26_mat_Chair26_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair37/Chair37_mat_Chair37_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair37/Chair37_mat_Chair37_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair37/Chair37_mat_Chair37_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair47/Chair47_mat_Chair47_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair47/Chair47_mat_Chair47_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair47/Chair47_mat_Chair47_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair48/Chair48_mat_Chair48_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair48/Chair48_mat_Chair48_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair48/Chair48_mat_Chair48_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair49/Chair49_mat_Chair49_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair49/Chair49_mat_Chair49_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair49/Chair49_mat_Chair49_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Closet/AtlasTexture_Closet_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Closet/AtlasTexture_Closet_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Closet/AtlasTexture_Closet_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Cushions/Cushion01_08/Cushion01_08_mat_Cushion01_08_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Cushions/Cushion01_08/Cushion01_08_mat_Cushion01_08_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Cushions/Cushion01_08/Cushion01_08_mat_Cushion01_08_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Cushions/Cushion17_24/Cushion17_24_mat_Cushion17_24_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Cushions/Cushion17_24/Cushion17_24_mat_Cushion17_24_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Cushions/Cushion17_24/Cushion17_24_mat_Cushion17_24_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Sofas/Sofa13/Sofa13_mat_Sofa13_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Sofas/Sofa13/Sofa13_mat_Sofa13_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Sofas/Sofa13/Sofa13_mat_Sofa13_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Tables/Table06/Table06_mat_Table06_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Tables/Table06/Table06_mat_Table06_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Tables/Table06/Table06_mat_Table06_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Tables/Table38/Table38_mat_Table38_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Tables/Table38/Table38_mat_Table38_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Tables/Table38/Table38_mat_Table38_Normal.png	2048	2048	2048	1024
Assets/HyTeKGames/SRPMaterialConverter/ConvertedMaterials/Maps/balcony_wood_AO.png	2048	2048	2048	1024
Assets/HyTeKGames/SRPMaterialConverter/ConvertedMaterials/Maps/balcony_wood_Metallic.png	2048	2048	2048	1024
Assets/HyTeKGames/SRPMaterialConverter/ConvertedMaterials/Maps/carpet_AO.png	2048	2048	2048	1024
Assets/HyTeKGames/SRPMaterialConverter/ConvertedMaterials/Maps/carpet_Metallic.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_attachments_metal_BaseMap.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_attachments_metal_MaskMap.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_attachments_metal_Normal.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_attachments_stone_BaseMap.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_attachments_stone_MaskMap.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_attachments_stone_Normal.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_boat_kit_BaseMap.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_boat_kit_MaskMap.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_boat_kit_Normal.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_chairs_BaseMap.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_chairs_MaskMap.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_chairs_Normal.png	2048	2048	2048	1024
