asset	width	height	maxSizeSetting	type
Assets/BCaT_assets/Meshell_Sturgis/My Grandma's Garden.png	4096	2048	4096	Default
Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Base_color.png	4096	4096	4096	Default
Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Metallic.png	4096	4096	4096	Default
Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Mixed_AO.png	4096	4096	4096	Default
Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Normal_OpenGL.png	4096	4096	4096	NormalMap
