asset	subAsset	kind	detail
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_35	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_36	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_37	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_38	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_39	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_40	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_41	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_42	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_43	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_44	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_45	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_46	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_47	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_48	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_49	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_50	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_51	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_52	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_53	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_54	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_55	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_56	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_57	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_58	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_59	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_60	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_61	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_62	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_63	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_64	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_65	Material	shader=UnityGLTF/PBRGraph
