scene,hierarchy,roomOrExhibit,objectName,rendererType,sourceAsset,prefabAsset,meshName,vertices,triangles,subMeshes,materialSlots,materialPaths,castShadows,receiveShadows,staticFlags,batchingStatic,occluderStatic,occludeeStatic,hasMeshCollider,meshColliderTriangles,colliderTypes,lodGroup,nearestCameraDistance,nearestPlayerDistance,boundsMagnitude,boundsMaxAxis,screenCoverageClass,objectClass,shadowRecommendation,shadowReason,combineGroupKey,instancingKey
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/Trigger","XR Origin (XR Rig)/Camera Offset","Trigger",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","Trigger",447,758,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.054,0.014,0.051,0.034,Large,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#Trigger::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/Trigger","XR Origin (XR Rig)/Camera Offset","Trigger",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","Trigger",447,758,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.053,0.014,0.051,0.034,Large,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#Trigger::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/XRController_Thumbstick_Buttons/ThumbStick","XR Origin (XR Rig)/Camera Offset","ThumbStick",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","ThumbStick",474,644,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.063,0.017,0.040,0.024,Large,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#ThumbStick::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/XRController_Thumbstick_Buttons/ThumbStick","XR Origin (XR Rig)/Camera Offset","ThumbStick",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","ThumbStick",474,644,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.063,0.017,0.040,0.024,Large,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#ThumbStick::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/Bumper","XR Origin (XR Rig)/Camera Offset","Bumper",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","Bumper",344,544,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.119,0.059,0.046,0.032,Medium,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#Bumper::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/Bumper","XR Origin (XR Rig)/Camera Offset","Bumper",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","Bumper",344,544,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.119,0.060,0.046,0.032,Medium,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#Bumper::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/XRController_Thumbstick_Buttons/ThumbStick_Base","XR Origin (XR Rig)/Camera Offset","ThumbStick_Base",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","ThumbStick_Base",320,348,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.063,0.017,0.041,0.029,Large,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#ThumbStick_Base::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/XRController_Thumbstick_Buttons/ThumbStick_Base","XR Origin (XR Rig)/Camera Offset","ThumbStick_Base",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","ThumbStick_Base",320,348,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.063,0.017,0.041,0.029,Large,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#ThumbStick_Base::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/TouchPad","XR Origin (XR Rig)/Camera Offset","TouchPad",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","TouchPad",342,272,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.064,0.008,0.091,0.064,Unknown,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#TouchPad::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/TouchPad","XR Origin (XR Rig)/Camera Offset","TouchPad",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","TouchPad",342,272,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.064,0.008,0.091,0.064,Unknown,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#TouchPad::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
