room_or_exhibit,object_class,sample_objects,current_renderer_count,proposed_renderer_count,current_material_slots,unique_materials,objects_share_materials,move_independently,individual_interaction_required,occlusion_culling_harm_risk,overdraw_risk,lightmapping_harder_risk,static_batching_already_solves,expected_benefit,risk
Exterior/Porch,Architecture,_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (13);_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (10);_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (8);_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (9);_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (11);_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (12);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (3);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (17);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (9);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (21);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (12);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (11);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (1);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (13);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (15);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (4);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (16);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (14);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (7);_SceneContent/Home/Exterior/Porch/Fence/Fence Type2 03 (5),28,2,28,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
FirstFloor/FirstFloorWalls,Architecture,_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (49);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (73);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (71);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (58);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (67);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (69);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (55);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (66);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (65);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (52);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (72);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (54);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (60);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (61);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (64);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (59);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (51);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (50);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (53);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (68),27,2,27,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
FirstFloor/FirstFloorWalls,Architecture,_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (43);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (44);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (102);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (38);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (99);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (105);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (100);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (47);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (104);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (13);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (101);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (19);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (45);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (97);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (20);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (46);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (39);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (21);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (98);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (15),26,2,26,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
Exhibit:BTMMP_Workstation_Assembly,Vegetation,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (4)/Cylinder.001/Cylinder.001_tulip_transparent_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (4)/Cylinder.002/Cylinder.002_tulip_transparent_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower/Cylinder.001/Cylinder.001_tulip_transparent_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower/Cylinder.002/Cylinder.002_tulip_transparent_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (2)/Cylinder.001/Cylinder.001_tulip_transparent_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (2)/Cylinder.002/Cylinder.002_tulip_transparent_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (1)/Cylinder.001/Cylinder.001_tulip_transparent_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (1)/Cylinder.002/Cylinder.002_tulip_transparent_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (3)/Cylinder.001/Cylinder.001_tulip_transparent_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (3)/Cylinder.002/Cylinder.002_tulip_transparent_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (4)/Cylinder.001/Cylinder.001_tulip_opague_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (4)/Cylinder.002/Cylinder.002_tulip_opague_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower/Cylinder.001/Cylinder.001_tulip_opague_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower/Cylinder.002/Cylinder.002_tulip_opague_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (2)/Cylinder.001/Cylinder.001_tulip_opague_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (2)/Cylinder.002/Cylinder.002_tulip_opague_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (1)/Cylinder.001/Cylinder.001_tulip_opague_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (1)/Cylinder.002/Cylinder.002_tulip_opague_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (3)/Cylinder.001/Cylinder.001_tulip_opague_1_0;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/generic_tulip_flower (3)/Cylinder.002/Cylinder.002_tulip_opague_1_0,20,1,20,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,Medium,Low
Exterior/Backyard,Vegetation,_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (2)/Grass_01_LOD0;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (8)/Grass_01_LOD0;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (5)/Grass_01_LOD0;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (6)/Grass_01_LOD0;_SceneContent/Home/Exterior/Backyard/grass/Grass_01/Grass_01_LOD0;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (1)/Grass_01_LOD0;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (7)/Grass_01_LOD0;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (9)/Grass_01_LOD0;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (4)/Grass_01_LOD0;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (3)/Grass_01_LOD0;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (2)/Grass_01_LOD1;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (8)/Grass_01_LOD1;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (5)/Grass_01_LOD1;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (6)/Grass_01_LOD1;_SceneContent/Home/Exterior/Backyard/grass/Grass_01/Grass_01_LOD1;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (1)/Grass_01_LOD1;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (7)/Grass_01_LOD1;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (9)/Grass_01_LOD1;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (4)/Grass_01_LOD1;_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (3)/Grass_01_LOD1,20,1,20,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,Medium,Low
FirstFloor/Kitchen,Architecture,_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/bar/bar_bar2_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/seat/seat_seat1_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/light/light_light3_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/wood/wood_wood_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/cup/cup_cup_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/vase dec/vase dec_vase dec1_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/light/light_light2_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/seat/seat_seat2_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/dec/dec_dec4_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/light/light_light1_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/bar/bar_bar1_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/dec/dec_dec1_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/vase dec/vase dec_vase cup2_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/dec/dec_dec3_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/dec/dec_dec2_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/table/table_table_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/book/book_book2_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/book/book_book1_0;_SceneContent/Home/FirstFloor/Kitchen/modern_scandinavian_kitchen_island/carpet/carpet_carpet_0,19,1,19,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
FirstFloor/Hallway,Architecture,_SceneContent/Home/FirstFloor/Hallway/Stairs/Object_26/_x0023_BALUSTER0.80.80.81;_SceneContent/Home/FirstFloor/Hallway/Stairs/Object_24/_x0023_BALUSTER0.80.80.81;_SceneContent/Home/FirstFloor/Hallway/Stairs/Object_22/_x0023_BALUSTER0.80.80.81;_SceneContent/Home/FirstFloor/Hallway/Stairs/Object_20/_x0023_BALUSTER0.80.80.81;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_BALUSTER1111;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_TREAD0.90.90.91;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_POST1111;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_HANDRAIL1111;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_POST1111;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_BOTTOMRAIL1111;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_STRING1111;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_TREADcon_ash.jpg1111;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_TREADcon_ash.jpg1111;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_STRING0.90.90.91;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_BEGIN_PLATFORM1111;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_BEGIN_PLATFORMcon_ash.jpg1111;_SceneContent/Home/FirstFloor/Hallway/Stairs/StairCon/_x0023_BEGIN_OPENINGPine_x0020_wall_x0020_3.jpg1111,17,1,17,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
Exhibit:PrivacyLaw,UI,_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/GroundProjection/GroundRing_02;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/GroundProjection/GroundRing_01;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/VerticalDataLines/DataLine_10;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/VerticalDataLines/DataLine_09;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/VerticalDataLines/DataLine_08;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/VerticalDataLines/DataLine_07;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/VerticalDataLines/DataLine_06;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/VerticalDataLines/DataLine_05;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/VerticalDataLines/DataLine_04;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/VerticalDataLines/DataLine_03;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/VerticalDataLines/DataLine_02;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/VerticalDataLines/DataLine_01;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/OrbitRing_03;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/OrbitRing_02;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/OrbitRing_01;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/HologramCore/BlueprintPanel/BlueprintRooms;_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/IdleHologram/HologramCore/BlueprintPanel/BlueprintOutline,17,2,17,1,Yes,Unknown/likely no for static scenery,Review,Low,Low,Low,No,Medium,Low
BuildProfiles/XR,SmallProp,BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/XRController_Thumbstick_Buttons/Button_B;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/XRController_Thumbstick_Buttons/Button_A;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/XRController_Thumbstick_Buttons/Button_B;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/XRController_Thumbstick_Buttons/Button_A;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/Trigger;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/Trigger;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/XRController_Thumbstick_Buttons/ThumbStick;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/XRController_Thumbstick_Buttons/ThumbStick;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/Bumper;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/Bumper;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/XRController_Thumbstick_Buttons/ThumbStick_Base;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/XRController_Thumbstick_Buttons/ThumbStick_Base;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/TouchPad;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/TouchPad;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/Button_Home;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/Button_Home,16,2,16,1,Yes,Unknown/likely no for static scenery,Review,Low,Low,Low,No,Medium,Low
FirstFloor/FirstFloorWalls,Architecture,_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (91);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (94);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (30);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (29);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (88);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (92);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (31);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (86);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (93);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (28);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (87);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (90);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (89);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (95);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (96);_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindow2m/WallWindow2m (1),16,1,16,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
Exhibit:BTMMP_Workstation_Assembly,SmallProp,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (2);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (3);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (6);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (5);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (7);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (1);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (8);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (4);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_paint_bottle_2;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_paint_bottle_2 (1);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_paint_bottle_2 (2),12,2,12,1,Yes,Unknown/likely no for static scenery,Review,Low,Low,Low,No,Medium,Low
FirstFloor/FirstFloor,Architecture,_SceneContent/Home/FirstFloor/FirstFloor/zedah_prevalent_52_inch_luxury_fan/Cylinder/Cylinder_antique brass_0;_SceneContent/Home/FirstFloor/FirstFloor/zedah_prevalent_52_inch_luxury_fan/Cylinder/Cylinder_paper blades_0;_SceneContent/Home/FirstFloor/FirstFloor/zedah_prevalent_52_inch_luxury_fan/Cylinder.001/Cylinder.001_antique brass_0;_SceneContent/Home/FirstFloor/FirstFloor/zedah_prevalent_52_inch_luxury_fan/Cylinder.003/Cylinder.003_antique brass_0;_SceneContent/Home/FirstFloor/FirstFloor/zedah_prevalent_52_inch_luxury_fan/Cylinder.004/Cylinder.004_antique brass_0;_SceneContent/Home/FirstFloor/FirstFloor/zedah_prevalent_52_inch_luxury_fan/Cylinder.001/Cylinder.001_void_0;_SceneContent/Home/FirstFloor/FirstFloor/zedah_prevalent_52_inch_luxury_fan/Cube.002/Cube.002_antique brass_0;_SceneContent/Home/FirstFloor/FirstFloor/zedah_prevalent_52_inch_luxury_fan/Cylinder.002/Cylinder.002_antique brass_0;_SceneContent/Home/FirstFloor/FirstFloor/zedah_prevalent_52_inch_luxury_fan/Cube.003/Cube.003_antique brass_0;_SceneContent/Home/FirstFloor/FirstFloor/zedah_prevalent_52_inch_luxury_fan/Cylinder.003/Cylinder.003_void_0;_SceneContent/Home/FirstFloor/FirstFloor/zedah_prevalent_52_inch_luxury_fan/Cube.003/Cube.003_void_0,11,1,11,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
FirstFloor/FirstFloorWalls,Architecture,_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (40);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (37);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (42);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (106);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (78);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (18);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (82);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (85);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (81);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (84);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (83),11,1,11,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
Exterior/Pond,HighPolyArtifact,_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars.001_4/Object_16;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_8;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_10;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_9;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_11;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars.001_4/Object_17;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_12;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Bridge Steps_0/Object_4;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Base_3/Object_14,9,1,9,1,Yes,Unknown/likely no for static scenery,Review,Low,Low,Low,No,Medium,Low
FirstFloor/FirstFloorWalls,Architecture,_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (25);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (11);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (33);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (24);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (23);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (34);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (26);_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindow2m/WallWindow2m;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindow2m (1)/WallWindow2m,9,1,9,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
_SceneContent/Home,Architecture,_SceneContent/Home/HomeFrontStructure/SM_wall_base (20);_SceneContent/Home/HomeFrontStructure/SM_wall_base (8);_SceneContent/Home/HomeFrontStructure/SM_wall_base (7);_SceneContent/Home/HomeFrontStructure/SM_wall_base (14);_SceneContent/Home/HomeFrontStructure/SM_wall_base (12);_SceneContent/Home/HomeFrontStructure/SM_wall_base (18);_SceneContent/Home/HomeFrontStructure/SM_wall_base (13);_SceneContent/Home/HomeFrontStructure/SM_wall_base (5);_SceneContent/Home/HomeFrontStructure/SM_wall_base (19),9,1,9,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
SecondFloor/Temp_SecondFloor_Planning,Architecture,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/Patio_Window_Shutter (22);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/Patio_Window_Shutter (28);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/Patio_Window_Shutter (29);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/Patio_Window_Shutter (26);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/Patio_Window_Shutter (27);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/Patio_Window_Shutter (24);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/Patio_Window_Shutter (23);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/Patio_Window_Shutter (25),8,1,16,2,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
