scene,object_path,prefab,mesh_asset,mesh_name,triangle_count,material_count,static_flags,estimated_distance_from_player,typical_screen_coverage,current_cast_shadows,current_receive_shadows,object_class,classification,reason,recommended_cast_shadows_after,recommended_receive_shadows_after,has_mesh_collider,mesh_collider_triangles,lod_group,visual_risk
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/pictureframe/pictureframe1,Assets/BCaT_assets/BlackParlors/Assets/pictureframe.prefab,Assets/picture-frame/source/pictureframe.fbx,pictureframe1,100,1,0,5.915,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/BigMommaLivingRoom/pictureframe/pictureframe1,Assets/BCaT_assets/BlackParlors/Prefabs/Black_Parlors.prefab,Assets/picture-frame/source/pictureframe.fbx,pictureframe1,100,1,0,5.435,Medium,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Black_Parlors/pictureframe/pictureframe1,Assets/BCaT_assets/BlackParlors/Prefabs/Black_Parlors.prefab,Assets/picture-frame/source/pictureframe.fbx,pictureframe1,100,1,0,5.238,Medium,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (3)/WindowFrameTall4m,Assets/UnityTechnologies/Basic Asset Pack Interior/Prefabs/Walls/WallWindowTall4m.prefab,Assets/UnityTechnologies/Basic Asset Pack Interior/Models/Walls/WallWindowTall4m.FBX,WindowFrameTall4m,88,1,0,8.280,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (2)/WindowFrameTall4m,Assets/UnityTechnologies/Basic Asset Pack Interior/Prefabs/Walls/WallWindowTall4m.prefab,Assets/UnityTechnologies/Basic Asset Pack Interior/Models/Walls/WallWindowTall4m.FBX,WindowFrameTall4m,88,1,0,6.523,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (1)/WindowFrameTall4m,Assets/UnityTechnologies/Basic Asset Pack Interior/Prefabs/Walls/WallWindowTall4m.prefab,Assets/UnityTechnologies/Basic Asset Pack Interior/Models/Walls/WallWindowTall4m.FBX,WindowFrameTall4m,88,1,0,10.861,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (12)/WindowFrame2m,Assets/UnityTechnologies/Basic Asset Pack Interior/Prefabs/Walls/WallWindow2m.prefab,Assets/UnityTechnologies/Basic Asset Pack Interior/Models/Walls/WallWindow2m.FBX,WindowFrame2m,44,1,0,7.380,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/HomeFrontStructure/WallWindow2m (2)/WindowFrame2m,Assets/UnityTechnologies/Basic Asset Pack Interior/Prefabs/Walls/WallWindow2m.prefab,Assets/UnityTechnologies/Basic Asset Pack Interior/Models/Walls/WallWindow2m.FBX,WindowFrame2m,44,1,0,7.437,Medium,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (14)/WindowFrame2m,Assets/UnityTechnologies/Basic Asset Pack Interior/Prefabs/Walls/WallWindow2m.prefab,Assets/UnityTechnologies/Basic Asset Pack Interior/Models/Walls/WallWindow2m.FBX,WindowFrame2m,44,1,0,7.588,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (15)/WindowFrame2m,Assets/UnityTechnologies/Basic Asset Pack Interior/Prefabs/Walls/WallWindow2m.prefab,Assets/UnityTechnologies/Basic Asset Pack Interior/Models/Walls/WallWindow2m.FBX,WindowFrame2m,44,1,0,6.820,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
