asset	width	height	format	mips	readable	maxSize	compression	crunch	sRGB	type	sourceSizeBytes
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_026.png	761	1224	RGB24	1	False	2048	Uncompressed	False	True	Default	122986
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_027.png	763	1224	RGB24	1	False	2048	Uncompressed	False	True	Default	98546
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_028.png	758	1174	RGB24	1	False	2048	Uncompressed	False	True	Default	210591
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_029.png	760	1113	RGB24	1	False	2048	Uncompressed	False	True	Default	225443
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_030.png	708	1203	RGB24	1	False	2048	Uncompressed	False	True	Default	435890
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_031.png	760	1224	RGB24	1	False	2048	Uncompressed	False	True	Default	358642
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_032.png	686	1158	RGB24	1	False	2048	Uncompressed	False	True	Default	194860
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_033.png	691	1157	RGB24	1	False	2048	Uncompressed	False	True	Default	186370
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_034.png	698	1174	RGB24	1	False	2048	Uncompressed	False	True	Default	214720
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_035.png	707	1103	RGB24	1	False	2048	Uncompressed	False	True	Default	200737
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_036.png	792	1224	RGB24	1	False	2048	Uncompressed	False	True	Default	20887
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_037.png	792	1039	RGB24	1	False	2048	Uncompressed	False	True	Default	147763
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_038.png	758	1165	RGB24	1	False	2048	Uncompressed	False	True	Default	151451
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_039.png	760	1163	RGB24	1	False	2048	Uncompressed	False	True	Default	171430
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_040.png	759	1180	RGB24	1	False	2048	Uncompressed	False	True	Default	209196
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_041.png	792	1060	RGB24	1	False	2048	Uncompressed	False	True	Default	286326
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_042.png	760	1175	RGB24	1	False	2048	Uncompressed	False	True	Default	201904
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_043.png	734	1036	RGB24	1	False	2048	Uncompressed	False	True	Default	169019
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/GettingHome/page_001.png	864	1248	RGB24	1	False	2048	Uncompressed	False	True	Default	206739
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/GettingHome/page_002.png	684	1124	RGB24	1	False	2048	Uncompressed	False	True	Default	324130
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/GettingHome/page_003.png	685	1124	RGB24	1	False	2048	Uncompressed	False	True	Default	308587
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/GettingHome/page_004.png	685	1124	RGB24	1	False	2048	Uncompressed	False	True	Default	296681
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/GettingHome/page_005.png	684	1124	RGB24	1	False	2048	Uncompressed	False	True	Default	305537
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/GettingHome/page_006.png	684	1122	RGB24	1	False	2048	Uncompressed	False	True	Default	285447
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/GettingHome/page_007.png	671	1116	RGB24	1	False	2048	Uncompressed	False	True	Default	286009
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/Tesseract/page_001.png	1120	1395	RGB24	1	False	2048	Uncompressed	False	True	Default	209258
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/Tesseract/page_002.png	1120	1395	RGB24	1	False	2048	Uncompressed	False	True	Default	169512
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/Tesseract/page_003.png	1120	1395	RGB24	1	False	2048	Uncompressed	False	True	Default	465720
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/Tesseract/page_004.png	1120	1395	RGB24	1	False	2048	Uncompressed	False	True	Default	751246
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/Tesseract/page_005.png	1120	1395	RGB24	1	False	2048	Uncompressed	False	True	Default	747479
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/Tesseract/page_006.png	1120	1395	RGB24	1	False	2048	Uncompressed	False	True	Default	781530
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/Tesseract/page_007.png	1120	1395	RGB24	1	False	2048	Uncompressed	False	True	Default	782018
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/Tesseract/page_008.png	1120	1363	RGB24	1	False	2048	Uncompressed	False	True	Default	793787
Assets/Coconut Palm Tree Pack/Textures/Coconut_Palm_Tree_diffuse.psd	1024	1024	DXT5	11	True	1024	Compressed	False	True	Default	15023852
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Bathroom_Glass/glass_glass_Normal.png	1024	1024	DXT5	11	True	1024	Compressed	False	False	NormalMap	461977
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedside_carpet/carpet_carpet_AlbedoTransparency.png	1024	1024	DXT1Crunched	11	True	1024	Compressed	False	True	Default	1599153
Assets/DevDen Arch Viz Scotland/Textures/Common/Interior_props/StudyRoom_BG1.png	1024	1024	DXT1	11	True	1024	Compressed	False	True	Default	4368367
Assets/DevDen Arch Viz Scotland/Textures/Common/SmallObj/trash-can_albedo.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	808254
Assets/DevDen Arch Viz Scotland/Textures/Common/SmallObj/trash-can_metal.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	26797
Assets/DevDen Arch Viz Scotland/Textures/Common/SmallObj/trash-can_normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	3703805
Assets/DevDen Arch Viz Scotland/Textures/Common/note_pad/note_pad_note_pad_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	1980002
