scene,object_path,renderer,prev_cast,new_cast,prev_receive,new_receive,mesh_triangles,status
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/pictureframe/Photo,MeshRenderer,On,Off,True,False,2,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/BigMommaLivingRoom/pictureframe/Photo,MeshRenderer,On,Off,True,False,2,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Black_Parlors/pictureframe/Photo,MeshRenderer,On,Off,True,False,2,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane_0/Object_4,MeshRenderer,On,Off,True,True,66507,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/VintageCamera_Preview/Artifact_VintageCamera/LL_AntiqueCamera_Model/Armature/Object_6/Object_9,SkinnedMeshRenderer,On,Off,True,True,17946,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/LivingRoom/flower_pot_1,MeshRenderer,On,Off,True,True,17730,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane_0/Object_5,MeshRenderer,On,Off,True,True,16676,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/HOMED/Recipe-Box,MeshRenderer,On,Off,True,True,16135,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/BezierCircle_2/Object_9,MeshRenderer,On,Off,True,True,13824,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/oil_barrel_laying,MeshRenderer,On,Off,True,True,10650,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/oil_barrel_standing,MeshRenderer,On,Off,True,True,10650,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (2),MeshRenderer,On,Off,True,True,7552,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (3),MeshRenderer,On,Off,True,True,7552,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (6),MeshRenderer,On,Off,True,True,7552,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (5),MeshRenderer,On,Off,True,True,7552,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (7),MeshRenderer,On,Off,True,True,7552,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (1),MeshRenderer,On,Off,True,True,7552,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (8),MeshRenderer,On,Off,True,True,7552,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can,MeshRenderer,On,Off,True,True,7552,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (4),MeshRenderer,On,Off,True,True,7552,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/Cilindro low-bajo/group2/Mid_2,MeshRenderer,On,Off,True,True,6692,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_159,SkinnedMeshRenderer,On,Off,True,True,6634,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_183,SkinnedMeshRenderer,On,Off,True,True,6050,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_105,SkinnedMeshRenderer,On,Off,True,True,5128,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/HOMED/Candle,MeshRenderer,On,Off,True,True,4732,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane.001_1/Object_7,MeshRenderer,On,Off,True,True,4551,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_120,SkinnedMeshRenderer,On,Off,True,True,4484,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_165,SkinnedMeshRenderer,On,Off,True,True,3676,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/flowerbarrel_with_tulips/Object_4,MeshRenderer,On,Off,True,True,3596,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_240,SkinnedMeshRenderer,On,Off,True,True,3508,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_231,SkinnedMeshRenderer,On,Off,True,True,3508,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_222,SkinnedMeshRenderer,On,Off,True,True,3508,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_213,SkinnedMeshRenderer,On,Off,True,True,3508,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_135,SkinnedMeshRenderer,On,Off,True,True,3440,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_paint_bottle_2,MeshRenderer,On,Off,True,True,3408,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_paint_bottle_2 (1),MeshRenderer,On,Off,True,True,3408,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_paint_bottle_2 (2),MeshRenderer,On,Off,True,True,3408,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_102,SkinnedMeshRenderer,On,Off,True,True,3124,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_96,SkinnedMeshRenderer,On,Off,True,True,3124,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_168,SkinnedMeshRenderer,On,Off,True,True,2540,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/flowerbarrel_with_tulips/Object_7,MeshRenderer,On,Off,True,True,2472,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/flowerbarrel_with_tulips/Object_5,MeshRenderer,On,Off,True,True,2408,APPLIED
Assets/BH_XR_MainScene.unity,BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/Controller_Base,MeshRenderer,On,Off,True,True,2398,APPLIED
Assets/BH_XR_MainScene.unity,BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/Controller_Base,MeshRenderer,On,Off,True,True,2398,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_204,SkinnedMeshRenderer,On,Off,True,True,2276,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_201,SkinnedMeshRenderer,On,Off,True,True,2276,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_198,SkinnedMeshRenderer,On,Off,True,True,2276,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_195,SkinnedMeshRenderer,On,Off,True,True,2276,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Kitchen_asset/cake_display/pCylinder2/pCylinder2_standardSurface2_0,MeshRenderer,On,Off,True,True,1880,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/flowerbarrel_with_tulips/Object_6,MeshRenderer,On,Off,True,True,1584,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_126,SkinnedMeshRenderer,On,Off,True,True,1522,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/Cilindro low-bajo/group2/cilindro_low1,MeshRenderer,On,Off,True,True,1484,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Backyard/well/Env_Well_01,MeshRenderer,On,Off,True,True,1408,APPLIED
