scene,rootObjects,gameObjects,renderers,meshRenderers,skinnedMeshRenderers,meshFilters,uniqueMeshes,totalRendererVertices,totalRendererTriangles,materials,uniqueMaterials,shadowCasters,receiveShadows,meshColliders,meshColliderTriangles,boxColliders,sphereColliders,capsuleColliders,terrainCount,terrainApproxTriangles,terrainTrees,terrainDetails,lights,realtimeLights,bakedLights,mixedLights,reflectionProbes,lightProbes,lodGroups,particleSystems,canvases,cameras,videoPlayers,audioSources,renderTexturesReferenced,staticRendererCount,occlusionStaticCount
"Assets/_Recovery/0 (1).unity",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Assets/_Recovery/0 (2).unity",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Assets/_Recovery/0 (3).unity",5,2966,2046,1940,83,1946,316,2189964,2728090,2140,305,1939,2026,388,466240,89,1,0,1,524288,66,8,2,2,0,0,0,0,144,0,39,2,7,10,1,81,81
"Assets/_Recovery/0.unity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Packages/com.unity.render-pipelines.high-definition/Tests/Runtime/Scenes/0010_Volumes.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.render-pipelines.high-definition/Tests/Runtime/Scenes/0010_Volumes.unity""."
"Packages/com.unity.render-pipelines.universal/Editor/SceneTemplates/Basic.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.render-pipelines.universal/Editor/SceneTemplates/Basic.unity""."
"Packages/com.unity.render-pipelines.universal/Editor/SceneTemplates/Indoors.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.render-pipelines.universal/Editor/SceneTemplates/Indoors.unity""."
"Packages/com.unity.render-pipelines.universal/Editor/SceneTemplates/Standard.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.render-pipelines.universal/Editor/SceneTemplates/Standard.unity""."
"Packages/com.unity.xr.core-utils/Tests/Runtime/Scenes/ConvexHullPerformanceTest.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.core-utils/Tests/Runtime/Scenes/ConvexHullPerformanceTest.unity""."
"Packages/com.unity.xr.core-utils/Tests/Runtime/Scenes/CustomApproximatelyPerformanceTest.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.core-utils/Tests/Runtime/Scenes/CustomApproximatelyPerformanceTest.unity""."
"Packages/com.unity.xr.core-utils/Tests/Runtime/Scenes/PointInPolygonPerformanceTest.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.core-utils/Tests/Runtime/Scenes/PointInPolygonPerformanceTest.unity""."
"Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene0.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene0.unity""."
"Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene1.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene1.unity""."
"Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene2.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene2.unity""."
"Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene3.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene3.unity""."
"Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene4.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene4.unity""."
"Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene5.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene5.unity""."
"Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene6.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene6.unity""."
"Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene7.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene7.unity""."
"Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene8.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.interaction.toolkit/Tests/Scenes/SceneLoadingTests.Scene8.unity""."
"Packages/com.unity.xr.interaction.toolkit/Tests/Tests/Conecast Stress Test.unity",ERROR:"Cannot open scene with path ""Packages/com.unity.xr.interaction.toolkit/Tests/Tests/Conecast Stress Test.unity""."
