prefab,pathObject,rendererCount,totalVertices,totalTriangles,materialSlots,meshColliderCount,meshColliderTriangles,lodGroupCount,shadowCasters,architectureCandidate
"Assets/DevDen Arch Viz Scotland/Prefabs/Study Room/StudyRoom Chair.prefab","StudyRoom Chair",1,3739,4680,2,1,4680,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Study Room/StudyRoom Table Lamp.prefab","StudyRoom Table Lamp",1,1927,1588,3,1,1588,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Study Room/StudyRoom WallPicture.prefab","StudyRoom WallPicture",1,60,30,2,1,30,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Study Room/StudyRoomCarpet.prefab","StudyRoomCarpet",1,40,24,1,1,24,0,1,True
"Assets/Emilulz_Assets/DEMOLowPolyFlowers/Prefabs/SM_Daisy_Single.prefab","SM_Daisy_Single",1,186,228,1,0,0,0,1,False
"Assets/Emilulz_Assets/DEMOLowPolyFlowers/Prefabs/SM_Dandelion_Small.prefab","SM_Dandelion_Small",1,187,188,1,0,0,0,1,False
"Assets/Emilulz_Assets/DEMOLowPolyFlowers/Prefabs/SM_Hyacinth_PastellBlue_Big.prefab","SM_Hyacinth_PastellBlue_Big",1,807,1108,1,0,0,0,1,False
"Assets/Emilulz_Assets/DEMOLowPolyFlowers/Prefabs/SM_Rose_Black_Open.prefab","SM_Rose_Black_Open",1,317,338,1,0,0,0,1,False
"Assets/Emilulz_Assets/DEMOLowPolyFlowers/Prefabs/SM_Rose_Red_Open.prefab","SM_Rose_Red_Open",1,317,338,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Bell pepper green slice.prefab","Bell pepper green slice",1,544,272,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Bell pepper green.prefab","Bell pepper green",1,550,248,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Bundt Cake cut.prefab","Bundt Cake cut",1,829,379,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Bundt Cake Piece.prefab","Bundt Cake Piece",1,196,86,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Bundt Cake.prefab","Bundt Cake",1,812,374,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Candy Cane B.prefab","Candy Cane B",1,428,204,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Cheesecake B.prefab","Cheesecake B",1,741,279,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Chopsticks B.prefab","Chopsticks B",1,48,24,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Chopsticks holder.prefab","Chopsticks holder",1,72,36,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Coffee Cup C.prefab","Coffee Cup C",1,462,212,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Cookies.prefab","Cookies",1,347,127,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Curry plate.prefab","Curry plate",1,854,350,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Doughnut D.prefab","Doughnut D",1,508,212,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Doughnut H.prefab","Doughnut H",1,426,212,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Frappe B.prefab","Frappe B",1,602,276,2,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Hotdog A.prefab","Hotdog A",1,420,200,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Ice cream stick C.prefab","Ice cream stick C",1,680,245,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Ketchup Plastic Bottle.prefab","Ketchup Plastic Bottle",1,516,248,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Lamb Chop Cooked.prefab","Lamb Chop Cooked",1,756,342,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Lamb Chop.prefab","Lamb Chop",1,759,342,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Lamb leg.prefab","Lamb leg",1,458,214,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Maki C1.prefab","Maki C1",1,426,196,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Melon half.prefab","Melon half",1,480,190,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Melon Piece.prefab","Melon Piece",1,212,104,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Melon.prefab","Melon",1,388,182,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Peach half no seed.prefab","Peach half no seed",1,270,124,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Peach half with seed.prefab","Peach half with seed",1,270,124,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Peach slice.prefab","Peach slice",1,164,76,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Peach.prefab","Peach",1,366,168,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Pizza Margarita cut.prefab","Pizza Margarita cut",1,2757,1291,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Pizza Margarita Slice.prefab","Pizza Margarita Slice",1,362,171,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Pizza Margarita.prefab","Pizza Margarita",1,2604,1221,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Pretzel.prefab","Pretzel",1,693,312,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Sake cup C.prefab","Sake cup C",1,208,96,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Sake Pot C.prefab","Sake Pot C",1,184,92,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Salami A.prefab","Salami A",1,340,156,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Salami cut A.prefab","Salami cut A",1,409,171,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Salami slice A.prefab","Salami slice A",1,444,164,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Salmon Cut.prefab","Salmon Cut",1,428,196,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Salmon fillet.prefab","Salmon fillet",1,252,120,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Salmon plastic tray.prefab","Salmon plastic tray",1,686,332,2,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Salmon skeleton.prefab","Salmon skeleton",1,1246,572,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Salmon.prefab","Salmon",1,733,358,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Skewer C.prefab","Skewer C",1,956,438,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Soda bottle Glass A.prefab","Soda bottle Glass A",1,772,358,2,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Soda can C.prefab","Soda can C",1,542,254,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Sushi Wood Table.prefab","Sushi Wood Table",1,316,148,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Swirl lollipop C.prefab","Swirl lollipop C",1,701,337,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Tamago.prefab","Tamago",1,252,126,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Tomato Half.prefab","Tomato Half",1,610,262,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Tomato Quarter.prefab","Tomato Quarter",1,592,252,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Tomato.prefab","Tomato",1,364,162,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Udon.prefab","Udon",1,2535,1229,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Unagi.prefab","Unagi",1,352,174,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs/Wasabi.prefab","Wasabi",1,217,95,1,0,0,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Bell pepper green slice.prefab","Bell pepper green slice",1,544,272,1,1,44,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Bell pepper green.prefab","Bell pepper green",1,550,248,1,1,140,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Bundt Cake cut.prefab","Bundt Cake cut",1,829,379,1,2,52,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Bundt Cake Piece.prefab","Bundt Cake Piece",1,196,86,1,1,16,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Bundt Cake.prefab","Bundt Cake",1,812,374,1,1,36,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Candy Cane B.prefab","Candy Cane B",1,428,204,1,2,204,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Cheesecake B.prefab","Cheesecake B",1,741,279,1,1,8,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Chopsticks B.prefab","Chopsticks B",1,48,24,1,1,12,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Chopsticks holder.prefab","Chopsticks holder",1,72,36,1,1,12,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Coffee Cup C.prefab","Coffee Cup C",1,462,212,1,1,48,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Cookies.prefab","Cookies",1,347,127,1,1,44,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Curry plate.prefab","Curry plate",1,854,350,1,1,46,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Doughnut D.prefab","Doughnut D",1,508,212,1,1,60,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Doughnut H.prefab","Doughnut H",1,426,212,1,1,60,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Frappe B.prefab","Frappe B",1,602,276,2,2,54,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Hotdog A.prefab","Hotdog A",1,420,200,1,1,96,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Ice cream stick C.prefab","Ice cream stick C",1,680,245,1,1,30,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Ketchup Plastic Bottle.prefab","Ketchup Plastic Bottle",1,516,248,1,1,32,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Lamb Chop Cooked.prefab","Lamb Chop Cooked",1,756,342,1,1,36,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Lamb Chop.prefab","Lamb Chop",1,759,342,1,1,36,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Lamb leg.prefab","Lamb leg",1,458,214,1,1,64,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Maki C1.prefab","Maki C1",1,426,196,1,1,44,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Melon half.prefab","Melon half",1,480,190,1,1,80,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Melon Piece.prefab","Melon Piece",1,212,104,1,1,32,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Melon.prefab","Melon",1,388,182,1,1,110,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Peach half no seed.prefab","Peach half no seed",1,270,124,1,1,66,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Peach half with seed.prefab","Peach half with seed",1,270,124,1,1,66,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Peach slice.prefab","Peach slice",1,164,76,1,1,28,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Peach.prefab","Peach",1,366,168,1,1,78,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Pizza Margarita cut.prefab","Pizza Margarita cut",1,2757,1291,1,1,96,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Pizza Margarita Slice.prefab","Pizza Margarita Slice",1,362,171,1,1,18,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Pizza Margarita.prefab","Pizza Margarita",1,2604,1221,1,1,96,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Pretzel.prefab","Pretzel",1,693,312,1,1,76,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Sake cup C.prefab","Sake cup C",1,208,96,1,1,44,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Sake Pot C.prefab","Sake Pot C",1,184,92,1,1,20,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Salami A.prefab","Salami A",1,340,156,1,1,92,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Salami cut A.prefab","Salami cut A",1,409,171,1,1,60,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Salami slice A.prefab","Salami slice A",1,444,164,1,1,28,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Salmon Cut.prefab","Salmon Cut",1,428,196,1,1,48,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Salmon fillet.prefab","Salmon fillet",1,252,120,1,1,54,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Salmon plastic tray.prefab","Salmon plastic tray",1,686,332,2,1,44,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Salmon skeleton.prefab","Salmon skeleton",1,1246,572,1,1,40,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Salmon.prefab","Salmon",1,733,358,1,1,44,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Skewer C.prefab","Skewer C",1,956,438,1,1,96,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Soda bottle Glass A.prefab","Soda bottle Glass A",1,772,358,2,1,76,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Soda can C.prefab","Soda can C",1,542,254,1,1,60,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Sushi Wood Table.prefab","Sushi Wood Table",1,316,148,1,1,28,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Swirl lollipop C.prefab","Swirl lollipop C",1,701,337,1,1,32,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Tamago.prefab","Tamago",1,252,126,1,1,68,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Tomato Half.prefab","Tomato Half",1,610,262,1,1,58,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Tomato Quarter.prefab","Tomato Quarter",1,592,252,1,1,24,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Tomato.prefab","Tomato",1,364,162,1,1,80,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Udon.prefab","Udon",1,2535,1229,1,1,92,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Unagi.prefab","Unagi",1,352,174,1,1,68,0,1,False
"Assets/Food Pack-Demo/Prefabs with colliders/Wasabi.prefab","Wasabi",1,217,95,1,1,44,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathroomVanity01.prefab","BathroomVanity01",2,758,616,2,0,0,0,2,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathroomVanity02.prefab","BathroomVanity02",3,1428,944,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathroomVanity03.prefab","BathroomVanity03",3,320,228,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathroomVanity04.prefab","BathroomVanity04",3,840,604,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathroomVanity05.prefab","BathroomVanity05",4,1298,872,4,0,0,0,4,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathroomVanity06.prefab","BathroomVanity06",1,196,148,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathroomVanity07.prefab","BathroomVanity07",3,1594,1116,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathTub01.prefab","BathTub01",1,1837,2746,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathTub02.prefab","BathTub02",1,708,964,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathTub03.prefab","BathTub03",1,964,1336,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathTub04.prefab","BathTub04",1,1280,1792,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathTub05.prefab","BathTub05",1,708,964,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathTub06.prefab","BathTub06",1,3064,4764,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/BathTub07.prefab","BathTub07",1,2468,3936,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/ShowerSystem01.prefab","ShowerSystem01",3,10300,9338,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/ShowerSystem02.prefab","ShowerSystem02",3,8751,7534,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/ShowerSystem03.prefab","ShowerSystem03",3,7945,7268,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/ShowerSystem04.prefab","ShowerSystem04",2,3175,2952,2,0,0,0,2,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/ShowerSystem05.prefab","ShowerSystem05",3,20149,16376,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/ShowerSystem06.prefab","ShowerSystem06",3,16774,14264,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/ShowerSystem07.prefab","ShowerSystem07",3,17064,14918,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TissueHanger01.prefab","TissueHanger01",1,100,68,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TissueHanger02.prefab","TissueHanger02",1,214,170,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TissueHanger03.prefab","TissueHanger03",2,822,1052,2,0,0,0,2,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TissueHanger04.prefab","TissueHanger04",1,270,248,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TissueHanger05.prefab","TissueHanger05",2,892,1124,2,0,0,0,2,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TissueHanger06.prefab","TissueHanger06",1,277,252,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TissueHanger07.prefab","TissueHanger07",1,216,170,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/Toilet01.prefab","Toilet01",4,6041,9018,4,0,0,0,4,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/Toilet02.prefab","Toilet02",4,6134,8922,4,0,0,0,4,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/Toilet03.prefab","Toilet03",4,4952,7344,4,0,0,0,4,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/Toilet04.prefab","Toilet04",5,3114,4792,5,0,0,0,5,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/Toilet05.prefab","Toilet05",4,4916,7196,4,0,0,0,4,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/Toilet06.prefab","Toilet06",5,4225,5858,5,0,0,0,5,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/Toilet07.prefab","Toilet07",4,3770,5309,4,0,0,0,4,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TowelHanger01.prefab","TowelHanger01",1,96,48,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TowelHanger02.prefab","TowelHanger02",1,330,344,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TowelHanger03.prefab","TowelHanger03",1,130,88,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TowelHanger04.prefab","TowelHanger04",1,468,384,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TowelHanger05.prefab","TowelHanger05",1,374,328,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TowelHanger06.prefab","TowelHanger06",1,844,1276,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/TowelHanger07.prefab","TowelHanger07",1,464,528,1,0,0,0,1,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/WashBasin01.prefab","WashBasin01",3,2590,3008,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/WashBasin02.prefab","WashBasin02",3,2489,2924,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/WashBasin03.prefab","WashBasin03",3,2593,3144,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/WashBasin04.prefab","WashBasin04",3,2178,2482,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/WashBasin05.prefab","WashBasin05",3,2561,3126,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/WashBasin06.prefab","WashBasin06",3,3487,4540,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Bathroom/WashBasin07.prefab","WashBasin07",3,2511,2918,3,0,0,0,3,True
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed01.prefab","Bed01",3,12340,23024,3,0,0,0,3,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed02.prefab","Bed02",3,9334,16752,3,0,0,0,3,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed03.prefab","Bed03",3,11788,22500,3,0,0,0,3,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed04.prefab","Bed04",3,9516,18020,3,0,0,0,3,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed05.prefab","Bed05",3,9452,17962,3,0,0,0,3,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed06.prefab","Bed06",3,9452,17962,3,0,0,0,3,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed07.prefab","Bed07",3,9656,18116,3,0,0,0,3,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed08.prefab","Bed08",3,9670,18124,3,0,0,0,3,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed09.prefab","Bed09",3,9588,18140,3,0,0,0,3,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed10.prefab","Bed10",3,9627,18140,3,0,0,0,3,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed11.prefab","Bed11",5,9662,18116,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed12.prefab","Bed12",5,11806,22340,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed13.prefab","Bed13",6,10370,18656,6,0,0,0,6,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed14.prefab","Bed14",6,8514,14640,6,0,0,0,6,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed15.prefab","Bed15",5,9624,18124,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed16.prefab","Bed16",5,9716,18220,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed17.prefab","Bed17",5,9532,18028,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed18.prefab","Bed18",5,9532,18028,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed19.prefab","Bed19",8,9748,18200,8,0,0,0,8,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed20.prefab","Bed20",9,9868,18316,9,0,0,0,9,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed21.prefab","Bed21",5,15600,28348,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed22.prefab","Bed22",5,15600,28348,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed23.prefab","Bed23",5,15600,28348,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed24.prefab","Bed24",5,14943,27780,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed25.prefab","Bed25",5,14943,27780,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed26.prefab","Bed26",5,14943,27780,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed27.prefab","Bed27",5,24080,45772,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed28.prefab","Bed28",5,30184,57156,5,0,0,0,5,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed29.prefab","Bed29",4,24043,44506,4,0,0,0,4,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed30.prefab","Bed30",4,31206,54704,4,0,0,0,4,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed31.prefab","Bed31",3,15528,29642,3,0,0,0,3,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed32.prefab","Bed32",3,11716,22224,3,0,0,0,3,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed33.prefab","Bed33",2,1046,964,2,0,0,0,2,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed34.prefab","Bed34",2,1002,942,2,0,0,0,2,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed35.prefab","Bed35",2,1414,1268,2,0,0,0,2,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed36.prefab","Bed36",2,1362,1208,2,0,0,0,2,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed37.prefab","Bed37",2,1663,1878,2,0,0,0,2,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed38.prefab","Bed38",2,2012,2084,2,0,0,0,2,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed39.prefab","Bed39",1,11514,21528,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed40.prefab","Bed40",1,11514,21528,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed41.prefab","Bed41",1,17730,31476,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed42.prefab","Bed42",1,17730,31476,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed43.prefab","Bed43",2,15298,24688,2,0,0,0,2,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed44.prefab","Bed44",2,15298,24688,2,0,0,0,2,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed45.prefab","Bed45",1,20134,37184,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed46.prefab","Bed46",1,20134,37184,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed47.prefab","Bed47",1,15855,30410,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed48.prefab","Bed48",1,15855,30410,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed49.prefab","Bed49",1,8398,15968,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Beds/Bed50.prefab","Bed50",1,8390,15968,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Chairs/Chair01.prefab","Chair01",1,2341,3132,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Chairs/Chair02.prefab","Chair02",1,1988,2604,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Chairs/Chair03.prefab","Chair03",1,3042,5028,1,0,0,0,1,False
"Assets/Furniture Mega Pack/Prefabs/Chairs/Chair04.prefab","Chair04",1,5838,10456,1,0,0,0,1,False
