prefab,pathObject,rendererCount,totalVertices,totalTriangles,materialSlots,meshColliderCount,meshColliderTriangles,lodGroupCount,shadowCasters,architectureCandidate
"Assets/Animated Tropical Vegetation/Prefabs/Static/Jungle Bushes/Jungle Bush 3.prefab","Jungle Bush 3",3,349,276,3,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Static/Large Palm Trees/Large Palm Tree 1.prefab","Large Palm Tree 1",4,1862,1730,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Static/Large Palm Trees/Large Palm Tree 2.prefab","Large Palm Tree 2",4,1857,1741,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Static/Palm Trees/Palm Tree 2.prefab","Palm Tree 2",4,1333,1416,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Static/Small Trees/Small Tree 2.prefab","Small Tree 2",4,883,766,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Static/Small Trees/Small Tree 3.prefab","Small Tree 3",4,1210,1056,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Static/Small Trees/Small Tree 4.prefab","Small Tree 4",4,919,825,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Static/Tropical Plant/Tropical Plant.prefab","Tropical Plant",4,580,721,4,0,0,1,2,False
"Assets/BCaT/Exhibits/PrivacyLawExhibit/Prefabs/PrivacyLawExhibit.prefab","PrivacyLawExhibit",18,4,2,18,0,0,0,0,False
"Assets/BCaT_assets/BlackFamilyMuseumArchive/Prefabs/BFM_Chest_OnChair.prefab","BFM_Chest_OnChair",2,22305,35786,2,0,0,0,2,True
"Assets/BCaT_assets/BlackFamilyMuseumArchive/Prefabs/BFM_Chest_OnChair_W_Text.prefab","BFM_Chest_OnChair_W_Text",2,22305,35786,2,0,0,0,2,True
"Assets/BCaT_assets/BlackParlors/Assets/pictureframe.prefab","pictureframe",2,188,102,2,0,0,0,2,False
"Assets/BCaT_assets/BlackParlors/Prefabs/Black_Parlors.prefab","Black_Parlors",2,188,102,2,0,0,0,2,False
"Assets/BCaT_assets/ExhibitCanvases/DigitalExhibitCanvas.prefab","DigitalExhibitCanvas",0,0,0,0,0,0,0,0,False
"Assets/BCaT_assets/ExhibitCanvases/HolographicPhotoSlideshow.prefab","HolographicPhotoSlideshow",0,0,0,0,0,0,0,0,False
"Assets/BCaT_assets/ExhibitCanvases/MediaExhibitCanvas.prefab","MediaExhibitCanvas",0,0,0,0,0,0,0,0,False
"Assets/BCaT_assets/ExhibitCanvases/MediaVideoExhibit_Billboard.prefab","MediaVideoExhibit_Billboard",0,0,0,0,0,0,0,0,False
"Assets/BCaT_assets/ExhibitCanvases/MediaVideoExhibit_Hologram.prefab","MediaVideoExhibit_Hologram",0,0,0,0,0,0,0,0,False
"Assets/BCaT_assets/ExhibitCanvases/SoundExhibitCanvas.prefab","SoundExhibitCanvas",0,0,0,0,0,0,0,0,False
"Assets/BCaT_assets/HOMED/Prefabs/HOMED.prefab","HOMED",3,15070,21469,5,0,0,0,3,False
"Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_HousingMap.prefab","LindaLeaks_Exhibit_HousingMap",4,96,48,4,0,0,0,4,False
"Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_PhotoAlbum.prefab","LindaLeaks_Exhibit_PhotoAlbum",4,105188,179768,4,0,0,0,4,False
"Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab","LindaLeaks_Exhibit_VintageCamera",3,18913,17970,3,0,0,0,3,False
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Animated/Fence Type1 Door.prefab","Fence Type1 Door",1,372,192,1,0,0,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Animated/Fence Type2 Door.prefab","Fence Type2 Door",1,540,276,1,0,0,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Animated/Fence Type3 Door.prefab","Fence Type3 Door",1,516,264,1,0,0,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type1 01.prefab","Fence Type1 01",1,96,48,1,1,48,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type1 02.prefab","Fence Type1 02",1,144,72,1,1,72,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type2 01.prefab","Fence Type2 01",1,264,132,1,1,132,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type2 02.prefab","Fence Type2 02",1,264,132,1,1,132,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type2 03.prefab","Fence Type2 03",1,306,160,1,1,160,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type3 01.prefab","Fence Type3 01",1,288,144,1,1,144,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type3 02.prefab","Fence Type3 02",1,348,184,1,1,184,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type4 Big.prefab","Fence Type4 Big",1,472,260,1,1,260,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type4 Small.prefab","Fence Type4 Small",1,448,240,1,1,240,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type5 Big.prefab","Fence Type5 Big",1,492,268,1,1,268,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type5 Small.prefab","Fence Type5 Small",1,312,168,1,1,168,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type6 Big.prefab","Fence Type6 Big",1,384,192,1,1,192,0,1,True
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type6 Small.prefab","Fence Type6 Small",1,320,160,1,1,160,0,1,True
"Assets/Coconut Palm Tree Pack/Prefabs/AFS/Coconut_Palm_Tree01_AFS.prefab","Coconut_Palm_Tree01_AFS",1,3278,2664,1,0,0,1,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/AFS/Coconut_Palm_Tree02_AFS.prefab","Coconut_Palm_Tree02_AFS",1,3018,2452,1,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/AFS/Coconut_Palm_Tree03_AFS.prefab","Coconut_Palm_Tree03_AFS",1,3412,2716,1,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/AFS/Coconut_Palm_Tree04_AFS.prefab","Coconut_Palm_Tree04_AFS",1,2600,2072,1,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/AFS/Coconut_Palm_Tree05_AFS.prefab","Coconut_Palm_Tree05_AFS",1,2818,2268,1,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/AFS/Coconut_Palm_Tree06_AFS.prefab","Coconut_Palm_Tree06_AFS",1,3011,2300,1,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/AFS/Coconut_Palm_Tree07_AFS.prefab","Coconut_Palm_Tree07_AFS",1,2512,1924,1,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/AFS/Coconut_Palm_Tree08_AFS.prefab","Coconut_Palm_Tree08_AFS",1,3119,2492,1,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/AFS/Coconut_Palm_Tree09_AFS.prefab","Coconut_Palm_Tree09_AFS",1,2849,2232,1,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/AFS/Coconut_Palm_Tree10_AFS.prefab","Coconut_Palm_Tree10_AFS",1,2691,2024,1,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/AFS/Coconut_Palm_Tree11_AFS.prefab","Coconut_Palm_Tree11_AFS",1,3371,2616,1,0,0,0,1,False
