path,width,height,format,isReadable,mipmapCount,runtimeMemoryBytes,fileBytes,maxTextureSize,textureCompression,crunched,alphaSource,sRGBTexture,wrapMode,filterMode
"Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_3_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,70088,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_4_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,382423,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_4_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,52478,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_5_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,358439,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_5_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,67003,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_6_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,407252,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_6_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,61302,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/big_palm_tree_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,362636,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/big_palm_tree_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,83008,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/bushy_palm_1_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,209528,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/bushy_palm_1_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,55949,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/bushy_palm_2_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797744,530205,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/bushy_palm_2_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,128837,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/bushy_palm_3_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,506269,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/bushy_palm_3_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,121395,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/jungle_bush_1_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,482007,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/jungle_bush_1_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,113383,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/jungle_bush_3_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,443960,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/jungle_bush_3_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,109816,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/large_palm_tree_1_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797266,570105,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/large_palm_tree_1_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797267,98428,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/large_palm_tree_2_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797266,611808,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/large_palm_tree_2_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797267,102131,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/palm_tree_2_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,816518,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/palm_tree_2_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,153477,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
