path,shader,renderQueue,enableInstancing,mainTexture
"Assets/Animated Tropical Vegetation/Materials/bushy_palm_2.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/bushy_palm_2_color.png"
"Assets/Animated Tropical Vegetation/Materials/dead_tree_bark.mat","Universal Render Pipeline/Lit",2000,True,"Assets/Animated Tropical Vegetation/Textures/dead_tree_bark_color.png"
"Assets/Animated Tropical Vegetation/Materials/dead_tree_leaves.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/dead_tree_leaves_color.png"
"Assets/Animated Tropical Vegetation/Materials/jungle_bush_leaves.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/jungle_bush_leaves_color.png"
"Assets/Animated Tropical Vegetation/Materials/palm_tree_1_bark.mat","Universal Render Pipeline/Lit",2000,True,"Assets/Animated Tropical Vegetation/Textures/palm_tree_1_bark_color.png"
"Assets/Animated Tropical Vegetation/Materials/palm_tree_1_leaves.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/palm_tree_1_leaves_color.png"
"Assets/Animated Tropical Vegetation/Materials/palm_tree_2_bark.mat","Universal Render Pipeline/Lit",2000,True,"Assets/Animated Tropical Vegetation/Textures/palm_tree_2_bark_color.png"
"Assets/Animated Tropical Vegetation/Materials/palm_tree_2_leaves.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/palm_tree_2_leaves_color.png"
"Assets/Animated Tropical Vegetation/Materials/palm_tree_3_bark.mat","Universal Render Pipeline/Lit",2000,True,"Assets/Animated Tropical Vegetation/Textures/palm_tree_3_bark_color.png"
"Assets/Animated Tropical Vegetation/Materials/palm_tree_3_leaves.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/palm_tree_3_leaves_color.png"
"Assets/Animated Tropical Vegetation/Materials/small_tree_bark.mat","Universal Render Pipeline/Lit",2000,True,"Assets/Animated Tropical Vegetation/Textures/small_tree_bark_color.png"
"Assets/Animated Tropical Vegetation/Materials/small_tree_leaves.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/small_tree_leaves_color.png"
"Assets/Animated Tropical Vegetation/Materials/tropical_plant_leaf.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/tropical_plant_leaf_color.png"
"Assets/BCaT/Exhibits/BlackKitchen/Materials/BlackKitchen_DarkFloor.mat","Universal Render Pipeline/Lit",2000,False,""
"Assets/BCaT/Exhibits/BlackKitchen/Materials/BlackKitchen_DarkWall.mat","Universal Render Pipeline/Lit",2000,False,""
"Assets/BCaT/Exhibits/BlackKitchen/Materials/BlackKitchen_PromptPanel.mat","Universal Render Pipeline/Lit",2000,False,""
"Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb","UnityGLTF/UnlitGraph",2000,False,"Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb"
"Assets/BCaT/Exhibits/PrivacyLawExhibit/Materials/PrivacyLaw_DarkPanel.mat","Universal Render Pipeline/Unlit",3000,False,""
"Assets/BCaT/Exhibits/PrivacyLawExhibit/Materials/PrivacyLaw_HologramLine.mat","Universal Render Pipeline/Unlit",3000,False,""
"Assets/BCaT/Exhibits/PrivacyLawExhibit/Materials/PrivacyLaw_Panel.mat","Universal Render Pipeline/Unlit",3000,False,""
"Assets/BCaT_assets/9night/drum.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCaT_assets/9night/drum.glb"
"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest.glb"
"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest_chair.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest_chair.glb"
"Assets/BCaT_assets/BlackParlors/Assets/BreonnaTaylorMural.mat","Universal Render Pipeline/Unlit",2000,False,"Assets/BCaT_assets/BlackParlors/Assets/breonna-taylor-mural-img.jpeg"
"Assets/BCaT_assets/BlackParlors/Assets/Photo_Parlor.mat","Universal Render Pipeline/Unlit",2000,False,"Assets/BCaT_assets/BlackParlors/Assets/Parlor_img.jpg"
"Assets/BCaT_assets/BlackParlors/Assets/picture-frame/source/pictureframe.fbx","Universal Render Pipeline/Lit",2000,False,"Assets/BCaT_assets/BlackParlors/Assets/picture-frame/textures/pictureframe.png"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/blue-oil-barrel-with-lots-of-spray-paint-streaks/source/oil barrel1hig22low uv.fbx","Universal Render Pipeline/Lit",2000,False,""
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/source/Cilindro low-bajo.fbx","Universal Render Pipeline/Lit",3000,False,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/textures/Camara_Low_V2_lambert3_BaseColor.png"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb","UnityGLTF/PBRGraph",2000,False,""
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/generic_tulip_flower.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCAT_GLB_TextureRemediation/generic_tulip_flower/Texture_0 _00.png"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCAT_GLB_TextureRemediation/metal_table_asset/Texture_0 _00.png"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb","UnityGLTF/PBRGraph",2000,False,""
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray-paint-bottle-2/source/spray_paint_bottle_2.fbx","Universal Render Pipeline/Lit",2000,False,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray-paint-bottle-2/textures/diffuse.jpg"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","UnityGLTF/PBRGraph",2000,False,""
"Assets/BCaT_assets/HOMED/Box_Img.mat","Universal Render Pipeline/Lit",2000,False,"Assets/BCaT_assets/HOMED/Recipe_box_img.jpeg"
"Assets/BCaT_assets/HOMED/Letters.mat","Universal Render Pipeline/Lit",3000,False,"Assets/BCaT_assets/HOMED/Recipe_Box_letters.png"
"Assets/BCaT_assets/HOMED/Models/Candle.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCaT_assets/HOMED/Models/Candle.glb"
"Assets/BCaT_assets/HOMED/Models/Recipe-Box.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCaT_assets/HOMED/Models/Recipe-Box.glb"
"Assets/BCaT_assets/HOMED/Rice.mat","Universal Render Pipeline/Lit",2000,False,"Assets/BCaT_assets/HOMED/Recipe_Box_Rice.jpeg"
"Assets/BCaT_assets/LindaLeaks/Materials/LL_Brass.mat","Universal Render Pipeline/Lit",2000,False,""
"Assets/BCaT_assets/LindaLeaks/Materials/LL_DeepPlum.mat","Universal Render Pipeline/Lit",2000,False,""
"Assets/BCaT_assets/LindaLeaks/Materials/LL_MossGreen.mat","Universal Render Pipeline/Lit",2000,False,""
"Assets/BCaT_assets/LindaLeaks/Materials/LL_RoseClay.mat","Universal Render Pipeline/Lit",2000,False,""
"Assets/BCaT_assets/LindaLeaks/Materials/LL_WarmPaper.mat","Universal Render Pipeline/Lit",2000,False,""
"Assets/BCaT_assets/LindaLeaks/Models/LL_AntiqueCamera.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCaT_assets/LindaLeaks/Models/LL_AntiqueCamera.glb"
"Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb","UnityGLTF/UnlitGraph",2000,False,"Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb"
"Assets/BCaT_assets/Meshell_Sturgis/BMLR.mat","Universal Render Pipeline/Unlit",2000,False,"Assets/BCaT_assets/Meshell_Sturgis/Big Mama_s Living Room.jpg"
"Assets/BCaT_assets/Ri/glass_fish.glb","UnityGLTF/PBRGraph",3000,False,"Assets/BCaT_assets/Ri/glass_fish.glb"
"Assets/BCaT_assets/SewingRoom/bed.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCaT_assets/SewingRoom/bed.glb"
"Assets/BCaT_assets/SewingRoom/needle_and_thread.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCaT_assets/SewingRoom/needle_and_thread.glb"
"Assets/BCaT_assets/SewingRoom/old_sewing_box.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCaT_assets/SewingRoom/old_sewing_box.glb"
"Assets/BCaT_assets/SewingRoom/pillow__quilt.glb","UnityGLTF/UnlitGraph",2000,False,"Assets/BCaT_assets/SewingRoom/pillow__quilt.glb"
"Assets/BCaT_assets/SewingRoom/sewing_machine.glb","UnityGLTF/PBRGraph",2000,False,"Assets/BCaT_assets/SewingRoom/sewing_machine.glb"
"Assets/BrokenVector/LowPolyFencePack/Materials/Brown Wood.mat","Universal Render Pipeline/Lit",2000,False,"Assets/BrokenVector/LowPolyFencePack/Materials/Colorsheets/Colorsheet Wood Brown.png"
"Assets/BrokenVector/LowPolyFencePack/Materials/Red Wood.mat","Universal Render Pipeline/Lit",2000,False,"Assets/BrokenVector/LowPolyFencePack/Materials/Colorsheets/Colorsheet Wood Red.png"
"Assets/BrokenVector/LowPolyFencePack/Materials/Yellow Wood.mat","Universal Render Pipeline/Lit",2000,False,"Assets/BrokenVector/LowPolyFencePack/Materials/Colorsheets/Colorsheet Wood Yellow.png"
"Assets/Coconut Palm Tree Pack/Materials/bark.mat","Nature/TFP Tree Creator Bark Optimized",2000,False,"Assets/Coconut Palm Tree Pack/Textures/Coconut_Palm_Tree_diffuse.psd"
"Assets/Coconut Palm Tree Pack/Materials/Coconut_Palm_Tree_AFS.mat","Universal Render Pipeline/Lit",2450,False,"Assets/Coconut Palm Tree Pack/Textures/Coconut_Palm_Tree_diffuse.psd"
"Assets/Coconut Palm Tree Pack/Materials/leaf.mat","Nature/TFP Tree Creator Leaves Optimized",2000,False,"Assets/Coconut Palm Tree Pack/Textures/Coconut_Palm_Tree_diffuse.psd"
"Assets/Coconut Palm Tree Pack/Materials/Parts/Coconut_Palm_Tree_Bark1.mat","Nature/Tree Creator Bark",2000,False,"Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Bark1_diffuse.psd"
"Assets/Coconut Palm Tree Pack/Materials/Parts/Coconut_Palm_Tree_Bark2.mat","Nature/Tree Creator Bark",2000,False,"Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Bark2_diffuse.psd"
"Assets/Coconut Palm Tree Pack/Materials/Parts/Coconut_Palm_Tree_Bark3.mat","Nature/Tree Creator Bark",2000,False,"Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Bark_diffuse.tif"
"Assets/Coconut Palm Tree Pack/Materials/Parts/Coconut_Palm_Tree_Brush.mat","Nature/Tree Creator Leaves",2000,False,"Assets/Coconut Palm Tree Pack/Textures/Parts/Palm_Brush_diffuse.psd"
"Assets/Coconut Palm Tree Pack/Materials/Parts/Coconut_Palm_Tree_Frond_Stem.mat","Nature/Tree Creator Bark",2000,False,"Assets/Coconut Palm Tree Pack/Textures/Parts/Frond_Stem_diffuse.psd"
"Assets/Coconut Palm Tree Pack/Materials/Parts/Coconut_Palm_Tree_Leaf1.mat","Nature/Tree Creator Leaves",2000,False,"Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Branch1_diffuse.psd"
"Assets/Coconut Palm Tree Pack/Materials/Parts/Coconut_Palm_Tree_Leaf2.mat","Nature/Tree Creator Leaves",2000,False,"Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Branch2_diffuse.psd"
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree01.prefab","Hidden/Nature/Tree Creator Bark Optimized",2000,False,""
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree02.prefab","Hidden/Nature/Tree Creator Bark Optimized",2000,False,""
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree03.prefab","Hidden/Nature/Tree Creator Bark Optimized",2000,False,""
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree04.prefab","Hidden/Nature/Tree Creator Bark Optimized",2000,False,""
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree05.prefab","Hidden/Nature/Tree Creator Bark Optimized",2000,False,""
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree06.prefab","Hidden/Nature/Tree Creator Bark Optimized",2000,False,""
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree07.prefab","Hidden/Nature/Tree Creator Bark Optimized",2000,False,""
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree08.prefab","Hidden/Nature/Tree Creator Bark Optimized",2000,False,""
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree09.prefab","Hidden/Nature/Tree Creator Bark Optimized",2000,False,""
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree10.prefab","Hidden/Nature/Tree Creator Bark Optimized",2000,False,""
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree11.prefab","Hidden/Nature/Tree Creator Bark Optimized",2000,False,""
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree12.prefab","Hidden/Nature/Tree Creator Bark Optimized",2000,False,""
"Assets/danthaigames/DS 80s Television/FBX/TV.fbx","Universal Render Pipeline/Lit",2000,False,""
"Assets/danthaigames/DS 80s Television/Materials/TV Chrome.mat","Universal Render Pipeline/Lit",2000,False,""
"Assets/danthaigames/DS 80s Television/Materials/TV Feet.mat","Universal Render Pipeline/Lit",2000,False,""
"Assets/danthaigames/DS 80s Television/Materials/TV Handles and Surround.mat","Universal Render Pipeline/Lit",2000,False,"Assets/danthaigames/DS 80s Television/Textures/TVHandlesSurround.png"
"Assets/danthaigames/DS 80s Television/Materials/TV Screen Surround.mat","Universal Render Pipeline/Lit",2000,False,""
"Assets/danthaigames/DS 80s Television/Materials/TV Screen.mat","Universal Render Pipeline/Lit",2000,False,"Assets/danthaigames/DS 80s Television/Textures/TVScreen.png"
"Assets/danthaigames/DS 80s Television/Materials/TV.mat","Universal Render Pipeline/Lit",2000,False,"Assets/danthaigames/DS 80s Television/Textures/TV.png"
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Bird and Nest.mat","Universal Render Pipeline/Lit",2450,False,"Assets/DevDen Arch Viz Scotland/Decals/Bird and Nest.png"
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Cartoon.mat","Universal Render Pipeline/Lit",2450,False,"Assets/DevDen Arch Viz Scotland/Decals/Cartoon.png"
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Decor.mat","Universal Render Pipeline/Lit",2450,False,"Assets/DevDen Arch Viz Scotland/Decals/Decor 1.png"
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Family Love.mat","Universal Render Pipeline/Lit",2450,False,"Assets/DevDen Arch Viz Scotland/Decals/Family Love.png"
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Lets Eat.mat","Universal Render Pipeline/Lit",2450,False,"Assets/DevDen Arch Viz Scotland/Decals/Let's Eat.png"
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Line.mat","Universal Render Pipeline/Lit",2450,False,"Assets/DevDen Arch Viz Scotland/Decals/Line.png"
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Loading.mat","Universal Render Pipeline/Lit",2450,False,"Assets/DevDen Arch Viz Scotland/Decals/Loading.png"
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Plant.mat","Universal Render Pipeline/Lit",2450,False,"Assets/DevDen Arch Viz Scotland/Decals/Lamp Pole.png"
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Tree.mat","Universal Render Pipeline/Lit",2450,False,"Assets/DevDen Arch Viz Scotland/Decals/Tree.png"
"Assets/DevDen Arch Viz Scotland/HDRI/Sky.mat","Skybox/Panoramic",1000,False,"Assets/DevDen Arch Viz Scotland/HDRI/HDRI.png"
