path,type,fileBytes,vertices,triangles,subMeshes,reason
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Animated/Fence Type1 Door.prefab","GameObject",8591,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Animated/Fence Type2 Door.prefab","GameObject",8593,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Animated/Fence Type3 Door.prefab","GameObject",8625,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type1 01.prefab","GameObject",2467,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type1 02.prefab","GameObject",2483,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type2 01.prefab","GameObject",2483,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type2 02.prefab","GameObject",2483,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type2 03.prefab","GameObject",2515,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type3 01.prefab","GameObject",2483,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type3 02.prefab","GameObject",2483,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type4 Big.prefab","GameObject",2484,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type4 Small.prefab","GameObject",2486,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type5 Big.prefab","GameObject",2484,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type5 Small.prefab","GameObject",2486,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type6 Big.prefab","GameObject",2508,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Prefabs/Fence Type6 Small.prefab","GameObject",2486,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Scenes","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Scenes/All Fences Example.unity","SceneAsset",112924,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Scenes/Animated Doors Example.unity","SceneAsset",18105,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Scenes/Animated Doors ExampleSettings.lighting","LightingSettings",1991,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Scripts","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Scripts/DoorController.cs","MonoScript",3550,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Scripts/DoorToggle.cs","MonoScript",686,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Bird and Nest.png","Texture2D",23206,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Cartoon.png","Texture2D",19087,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Decor 1.png","Texture2D",36968,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Family Love.png","Texture2D",30154,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Lamp Pole.png","Texture2D",3071,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Let's Eat.png","Texture2D",47151,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Line.png","Texture2D",4854,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Loading.png","Texture2D",6974,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Materials","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Bird and Nest.mat","Material",3947,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Cartoon.mat","Material",3941,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Decor.mat","Material",3940,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Family Love.mat","Material",3945,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Lets Eat.mat","Material",3943,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Line.mat","Material",3939,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Loading.mat","Material",3941,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Plant.mat","Material",3940,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Materials/Tree.mat","Material",3939,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Decals/Tree.png","Texture2D",148878,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/HDRI","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/HDRI/HDRI.png","Texture2D",44743385,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/HDRI/Sky.mat","Material",2749,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/balcony","DefaultAsset",0,0,0,0,name/path heuristic
