path,fileBytes,meshAssets,totalVertices,totalTriangles,totalSubMeshes,readWrite,meshCompression,importMaterials,generateColliders,globalScale
"Assets/Animated Tropical Vegetation/Models/Dead Trees/dead_tree_1.fbx",76252,3,611,800,3,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Dead Trees/dead_tree_2.fbx",94284,3,863,1118,3,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Dead Trees/dead_tree_3.fbx",185340,3,1955,2056,6,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Jungle Bushes/jungle_bush_1.fbx",812972,3,1194,933,3,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Jungle Bushes/jungle_bush_3.fbx",745740,3,349,276,3,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Large Palm Trees/large_palm_tree_1.fbx",931308,5,1898,1766,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Large Palm Trees/large_palm_tree_2.fbx",930124,5,1887,1768,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Palm Trees/palm_tree_2.fbx",888444,5,1356,1445,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Small Trees/small_tree_2.fbx",687292,5,912,796,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Small Trees/small_tree_3.fbx",429868,5,1264,1115,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Small Trees/small_tree_4.fbx",401564,5,968,871,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Tropical Plant/tropical_plant.fbx",364332,4,580,721,4,False,Off,True,False,1
"Assets/BCaT_assets/BlackParlors/Assets/picture-frame/source/pictureframe.fbx",2166880,1,184,100,1,False,Off,True,False,1
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/blue-oil-barrel-with-lots-of-spray-paint-streaks/source/oil barrel1hig22low uv.fbx",342364,1,5610,10650,1,False,Off,True,False,1
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/source/Cilindro low-bajo.fbx",292192,4,5216,8543,7,False,Off,True,False,1
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray-paint-bottle-2/source/spray_paint_bottle_2.fbx",138476,1,1915,3408,1,False,Off,True,False,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type1 01.dae",8285,1,96,48,1,False,Off,False,True,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type1 02.dae",10311,1,144,72,1,False,Off,False,True,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type1 Door.fbx",56860,1,372,192,1,False,Off,False,True,100
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type2 01.dae",15324,1,264,132,1,False,Off,False,True,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type2 02.dae",15330,1,264,132,1,False,Off,False,True,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type2 03.dae",18386,1,306,160,1,False,Off,False,True,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type2 Door.fbx",57468,1,540,276,1,False,Off,False,True,100
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type3 01.dae",15945,1,288,144,1,False,Off,False,True,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type3 02.dae",20109,1,348,184,1,False,Off,False,True,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type3 Door.fbx",57100,1,516,264,1,False,Off,False,True,100
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type4 Big.dae",27017,1,472,260,1,False,Off,False,True,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type4 Small.dae",25368,1,448,240,1,False,Off,False,True,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type5 Big.dae",27836,1,492,268,1,False,Off,False,True,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type5 Small.dae",19076,1,312,168,1,False,Off,False,True,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type6 Big.dae",23104,1,384,192,1,False,Off,False,True,1
"Assets/BrokenVector/LowPolyFencePack/Models/Fence Type6 Small.dae",20046,1,320,160,1,False,Off,False,True,1
"Assets/danthaigames/DS 80s Television/FBX/TV.fbx",62716,11,1275,854,13,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Balcony/balcony_ chair.fbx",96950,1,629,444,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Balcony/balcony_mat.fbx",35141,1,40,66,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Balcony/balcony_table.fbx",148356,1,932,704,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Balcony/flower_pot_1.fbx",605392,1,19721,17730,4,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/2.fbx",24828010,1,23657,24624,2,True,Off,True,False,1
